dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0001	1122	170	62	C	306	170301	692273,23	7023135,59	0	171	62	C	428	171423	692876,07	7024098,54	0	2018	1	48354	25,75
2018-01-01	A0001	2638	171	62	C	428	171423	692876,07	7024098,54	0	174	62	C	66	174061	694420,66	7026227,86	0	2018	1	48354	25,75
2018-01-01	A0001	8975	174	62	C	66	174061	694420,66	7026227,86	0	183	62	C	41	183036	698814,6	7033658,95	0	2018		72534	19,1
2018-01-01	A0001	190	183	62	C	41	183036	698814,6	7033658,95	0	183	62	C	231	183226	698831,14	7033865,91	0	2018		72534	19,1
2018-01-01	A0001	2794	183	62	C	231	183226	698831,14	7033865,91	0	186	62	C	25	186020	698769,19	7036691,89	0	2018		72534	19,1
2018-01-01	A0001	6345	187	62	N	0	186911	698351,8	7037530,5	0	0	59	N	0	193256	699289,39	7043597,96	0	2018	1	109179	
2018-01-01	A0002	3533	0	80	C	0	0	691468,61	6990871,19	0	3	80	C	533	3533	693370,6	6993152,82	0	2018	1	23500	23,25
2018-01-01	A0002	1122	3	80	C	533	3533	693370,6	6993152,82	0	4	62	C	655	4655	694311,12	6993756,09	0	2018	1	23500	23,25
2018-01-01	A0002	382	4	62	C	655	4655	694311,12	6993756,09	0	5	80	C	37	5037	694644,11	6993988,07	0	2018	1	23500	23,25
2018-01-01	A0002	18563	5	80	C	37	5037	694644,11	6993988,07	0	23	62	C	600	23600	709099,55	7005132,49	0	2018	1	23500	23,25
2018-01-01	A0002	39	23	62	C	600	23600	709099,55	7005132,49	0	23	62	C	639	23639	709125,65	7005156,86	0	2018	1	30575	22,34
2018-01-01	A0002	5675	23	62	C	639	23639	709125,65	7005156,86	0	29	59	C	314	29314	713256,58	7008857,81	0	2018	1	30575	22,34
2018-01-01	A0002	13367	29	59	C	314	29314	713256,58	7008857,81	0	43	59	N	0	42681	722957,28	7017335,1	0	2018	1	31128	22,41
2018-01-01	A0002	4989	43	59	N	0	42681	722957,28	7017335,1	0	48	59	N	0	47670	725627,61	7021472,12	0	2018	1	44218	
2018-01-01	A0002	4768	48	59	N	0	47670	725627,61	7021472,12	0	52	59	N	775	52438	729320,16	7024317,7	0	2018	8	29747	
2018-01-01	A0002	6239	52	59	N	775	52438	729320,16	7024317,7	0	59	59	N	25	58677	734668,99	7027138,4	0	2018	8	59496	
2018-01-01	A0002	3050	60	59	N	973	60623	736575,72	7026722,4	0	64	59	N	30	63673	739544,2	7026627,58	0	2018	8	96440	
2018-01-01	A0002	14422	64	59	N	30	63673	739544,2	7026627,58	0	78	59	N	456	78095	747571,15	7038120,55	0	2018	1	39648	13
2018-01-01	A0003	2657	0	93	N	0	0	656905,33	6862885,42	0	2	93	N	600	2657	659083,07	6864154,78	0	2018	1	137503	
2018-01-01	A0003	2026	2	93	N	600	2657	659083,07	6864154,78	0	5	93	N	0	4683	660839,58	6865000,1	0	2018	1	137503	
2018-01-01	A0003	850	5	93	N	0	4683	660839,58	6865000,1	0	5	93	N	850	5533	661438,58	6865461,2	0	2018	1	137503	
2018-01-01	A0003	570	5	93	N	850	5533	661438,58	6865461,2	0	6	93	N	480	6103	661341,51	6866014,86	0	2018	1	118500	
2018-01-01	A0003	790	6	93	N	480	6103	661341,51	6866014,86	0	7	93	N	300	6893	661115,54	6866753,89	0	2018	1	118500	
2018-01-01	A0003	6808	7	93	N	300	6893	661115,54	6866753,89	0	13	93	N	959	13701	661436,37	6873324,45	0	2018	1	169954	11,2
2018-01-01	A0003	1068	13	93	N	959	13701	661436,37	6873324,45	0	15	93	N	0	14769	661828,24	6874285,56	0	2018	1	169954	11,2
