dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	RatioPL
2008-01-01	A0001	2380	0	93	N	0	0	653029,63	6866986,36	0	2	93	N	400	2380	652886,72	6869386,43	0	2008	Permanent horaire	190500	
2008-01-01	A0001	1707	2	93	N	400	2380	652886,72	6869386,43	0	4	93	N	100	4087	653976,1	6870408,45	0	2008	Permanent horaire	139000	
2008-01-01	A0001	800	4	93	N	100	4087	653976,1	6870408,45	0	4	93	N	900	4887	654758,39	6870598,91	0	2008	Permanent horaire	116100	
2008-01-01	A0001	2018	4	93	N	900	4887	654758,39	6870598,91	0	6	93	N	900	6905	656752,2	6870952,4	0	2008	Permanent horaire	117800	
2008-01-01	A0001	1802	6	93	N	900	6905	656752,2	6870952,4	0	8	93	N	700	8707	658472,16	6871558,75	0	2008	Permanent horaire	179200	
2008-01-01	A0001	2605	8	93	N	700	8707	658472,16	6871558,75	0	11	93	N	300	11312	660566,96	6873147,32	0	2008	Permanent horaire	163700	
2008-01-01	A0001	1291	11	93	N	300	11312	660566,96	6873147,32	0	12	93	N	600	12603	661527,45	6874024,53	0	2008	Permanent horaire	134000	
2008-01-01	A0001	802	12	93	N	600	12603	661527,45	6874024,53	0	13	93	N	401	13405	662103,01	6874589,79	0	2008	Permanent horaire	92300	
2008-01-01	A0001	580	0	95	N	0	13405	662103,01	6874589,79	0	0	95	N	580	13985	662458,38	6874953,34	0	2008	Temporaire journalier		
2008-01-01	A0001	4880	14	95	N	0	13985	662458,38	6874953,34	0	18	95	N	870	18865	665403,92	6878773,32	0	2008	Permanent horaire	95100	
2008-01-01	A0001	1629	18	95	N	870	18865	665403,92	6878773,32	0	20	95	C	499	20494	665942,54	6880311,58	0	2008	Permanent horaire	93849	16,9
2008-01-01	A0001	242	20	95	C	499	20494	665942,54	6880311,58	0	20	95	C	741	20736	666018,55	6880541,33	0	2008	Permanent horaire	93849	16,9
2008-01-01	A0001	7132	20	95	C	741	20736	666018,55	6880541,33	0	27	95	C	873	27868	667199,2	6887481,06	0	2008	Permanent horaire	93849	16,9
2008-01-01	A0001	2777	27	95	C	873	27868	667199,2	6887481,06	0	30	95	C	650	30645	667375,97	6890367,75	0	2008	Permanent horaire	84934	19,5
2008-01-01	A0001	1610	30	95	C	650	30645	667375,97	6890367,75	0	32	60	C	260	32255	667695,1	6891936,41	0	2008	Permanent horaire	84934	19,5
2008-01-01	A0001	10166	32	60	C	260	32255	667695,1	6891936,41	0	42	60	C	426	42421	671694,02	6900816,13	0	2008	Permanent horaire	83722	19,2
2008-01-01	A0001	1694	42	60	C	426	42421	671694,02	6900816,13	0	44	60	C	120	44115	672922,74	6901954,83	0	2008	Permanent horaire	61682	23,5
